"X","ID","ag","pov_final","genre","mc_calc"
160,"2012_Powers,Kevin_YellowBirds_PW.txt.csv","M","1p","PW","Y"
161,"2012_Richler,Nancy_ImposterBride_PW.txt.csv","F","1p","PW","Y"
162,"2012_Self,Will_Umbrella_PW.txt.csv","M","3p","PW","Y"
163,"2012_Snyder,Carrie_TheJulietStories_PW.txt.csv","F","3p","PW","Y"
164,"2012_Spalding,Linda_Purchase_PW.txt.csv","F","3p","PW","Y"
165,"2012_Thayil,Jeet_Narcopolis_PW.txt.csv","M","3p","PW","Y"
166,"2012_Thuy,Kim_Ru_PW.txt.csv","F","1p","PW","N"
167,"2012_TwanEng,Tan_TheGardenofEveningMists_PW.txt.csv","M","1p","PW","Y"
168,"2012_Wangersky,Russell_WhirlAwayStories_PW.txt.csv","M","1p","PW","Y"
169,"2013_AlireSaenz,Benjamin_EverythingBeginsandEndsattheKentucky_PW.txt.csv","M","1p","PW","Y"
170,"2013_Bock,Dennis_GoingHomeAgain_PW.txt.csv","M","1p","PW","Y"
171,"2013_Bonert,Kenneth_LionSeeker_PW.txt.csv","M","3p","PW","Y"
172,"2013_Boyden,Joseph_Orenda_PW.txt.csv","M","1p","PW","Y"
173,"2013_Bulawayo,NoViolet_WeNeed_PW.txt.csv","F","1p","PW","Y"
174,"2013_Catton,Eleanor_Luminaries_PW.txt.csv","F","3p","PW","Y"
175,"2013_Coady,Lynn_HellgoingStories_PW.txt.csv","F","3p","PW","Y"
176,"2013_Crace,Jim_Harvest_PW.txt.csv","M","1p","PW","N"
177,"2013_Davidson,Craig_CataractCity_PW.txt.csv","M","1p","PW","Y"
178,"2013_Gray,Amelia_Threats_PW.txt.csv","F","3p","PW","Y"
179,"2013_Kushner,Rachel_Flamethrowers_PW.txt.csv","F","1p","PW","N"
180,"2013_Lahiri,Jhumpa_Lowland_PW.txt.csv","F","3p","PW","Y"
181,"2013_Mallon,Thomas_Watergate_PW.txt.csv","M","3p","PW","Y"
182,"2013_McAdam,Colin_ABeautifulTruth_PW.txt.csv","M","3p","PW","Y"
183,"2013_McBride,James_GoodLordBird_PW.txt.csv","M","1p","PW","Y"
184,"2013_Moore,Lisa_Caught_PW.txt.csv","F","3p","PW","Y"
185,"2013_Ozeki,Ruth_TaleforTimeBeing_PW.txt.csv","F","1p","PW","Y"
186,"2013_Pynchon,Thomas_BleedingEdge_PW.txt.csv","M","3p","PW","Y"
188,"2013_Selvadurai,Shyam_HungryGhosts_PW.txt.csv","M","1p","PW","N"
189,"2013_Toibin,Colm_TheTestamentofMary_PW.txt.csv","M","1p","PW","Y"
190,"2013_Vyleta,Dan_TheCrookedMaid_PW.txt.csv","M","3p","PW","Y"
191,"2014_Alameddine,Rabih_UnnecessaryWoman_PW.txt.csv","M","1p","PW","Y"
192,"2014_Alarcon,Daniel_AtNightWeWalkinCircles_PW.txt.csv","M","3p","PW","Y"
